movie,sentence,score,label
디태치먼트,몇번이나 보고 대사와 장면을 외울만큼 본 영화 처음 봤을 땐 많이 울었지만 지금은 담담히 받아드릴 수 있는 단단한 마음이 생긴걸지도 모르겠다,10,1
모비우스,타격감이나 스피드 모든 것이 제대로 된 액션이었다,8,1
드라이브 마이 카,너무 지루함 평점이 높은 이유를 모르겠음,1,0
B컷,폭행을 옹호하는 발언을 하는 건 소신이 아니라 윤리가 비정상적이라는 거다. 김동완은 정말 심각하다,1,0
사랑 후의 두 여자,"가슴을 먹먹하고 뭉클하게 하는, 여성영화라고 하면 일관화된 이미지가 있었는데 새로운 시선에서 바라봐서 정말 좋았다",10,1
더 배트맨,배트맨은 배트맨 다워야 배트맨이다. DC가 조금은 정신 차린 것 같군요. 자고로 배트맨은 어두워야 제맛!,8,1
사랑 후의 두 여자,사랑의 여러가지 모습을 보여주는 영화. 좁은 의미의 사랑과 넓은 의미의 사랑 모두를 담았다. 슬픔을 이기지 못해 바닷물에 몸을 맡기던 메리의 모습이 너무 인상적이었어요.,10,1
배니싱: 미제사건,외국감독 영화에 한국배우들 보는거 너무 신선 ㅋㅋㅋㅋ 분위기 압도당함 소이졸귀,10,1
B컷,"교훈 &amp;gt; 다 쓴 핸드폰도 다시보자, 의외로 꾸르잼이라 놀람 ㅋㅋ",10,1
모비우스,쿠키 2개 있습니다.,4,0
모비우스,가벼운 느낌이면서도 스릴과 재미가 충만!! 이게 진짜 배트맨!! ^^,10,1
모비우스,알바라고 한애들 뭐냐 ㅈㄴ 재밌던데 ,10,1
암살,이정재배우님 출중한 연기에 끝까지 재밌게 봤어요!,8,1
모비우스,역시 자레드 레토 !! 믿고보는 연기력 ㅋㅋㅋ 베놈때부터 이집 쿠키맛집이네요 ㅋ,10,1
더 배트맨,"고뇌하는 히어로, 다크나이트.. 배트맨을 표현하는 수식어들을 그대로 스토리화한 작품. 고담시의 분위기는 역대 배트맨 영화 중 최고. 잭스나처럼 화려한 액션은 아니지만 영화 분위기와 아주 잘 어울리게 만들었음",9,1
배니싱: 미제사건,스토리 쫀쫀하구 시원시원하네요,8,1
모비우스,적당한 러닝타임에 생각보다는 볼만했다,6,0
더 배트맨,조금 지루한 느낌이었어요,7,0
모비우스,베놈보다 개인적으로 나은듯… 자레드 레토 히어로도 잘 어울리네 S2 모비우스로 행복해!!,10,1
모비우스,베놈2보단 낫다.내 생각이다.액션씬 분량도 많고 재밌었음.속도감과 탄력 있는 연출이 맘에 들었음.,6,0
모비우스,액션신에 눈이즐겁고 마블의 다음영화가기대되게하는 크키,8,1
배니싱: 미제사건,시간이 적당해서 기대없이 보게되었는데.. 역시나네요... 진짜 개연성 1도없고 배경음악만 쓸데없이 남용하고.. 마지막에 도데체 무슨여운이 남았다는건지? 마지막에 갑분로맨스?? 진짜 어이가 없음 요즘같은 시대에 이런 삼류영화 오랜만이었음.,1,0
극장판 주술회전 0,이런 애니가 보여줄수있는건 다보여주고 기대는 상회해서충족한다. 평정볼정도의관심만있다면 그냥보시길,10,1
모비우스,4D나 돌비나 아맥으로 N차 갑니다,10,1
모비우스,상상 그 이상을 보여줍니다.. 간만에 제대로 된 액션을 즐기고 왔어요,10,1
모비우스,완전 재밌었음ㅋㅋ 오랜만에 맨몸액션 제대로 만끽,10,1
모비우스,어.. 뭐라 설명해야되는지 모르겠음 조금 유치한 감이 있고 쿠키는 이해가 안가는..,5,0
모비우스,재밌어요또보고싶어요,10,1
모비우스,그냥봐 그게답이다!,10,1
모비우스,역시 살면서 박쥐는 조심하는게 좋다...;,1,0
뜨거운 피,평이 안좋아서 볼까말까하다 2천원이라서 봤는데 배우들 연기력 보는것만으로도 킬링타임으로 충분했음,8,1
모비우스,"뻔한 스토리, 그냥저냥 팝콘 무비용",5,0
모비우스,존재감) 영화 모비우스 &amp;lt;&amp;lt;&amp;lt;&amp;lt; 범계역 힐스테이트 모비우스,7,0
모비우스,미국엔 영웅들이 왜이리 많이 필요하죠? ,6,0
형,감동이에요. 가족들 함께 보기 좋아요,8,1
조커,중2병 걸린 방구석 찐따들이 조커에 빙의되서 좋아 할만한 영화. 오마주는 무슨 이것 저것 짜집기한 표절 영화. 특히 코미디의 왕 복붙 수준 ,2,0
모비우스,"화려한 액션씬이나 분장, 연기는 다 좋았는데 스토리가 좀 단순하다는 점에서 아쉬워요!! 좀더 다양한 이야기가 있었다면 좋았을것 같습니당 그래도 다음편이 너무 기대되네요 :)",7,0
맨 인 더 다크 2 ,지대 잘 만들었다 네이비실 위엄 지림,10,1
모비우스,쿠키2개. 2편 존버탑니다...,10,1
뜨거운 피,간만에 조폭영화 재밌게 봤네...조폭영화 미화도 안하고 의리없는 게 딱 현실적임.,8,1
아수라,영화가 아닌 다큐멘터리 ,10,1
뱅드림! 팝핀' 드림!,포피파 피포파 포피파파피포파ㅠㅠ,10,1
모비우스,생각보다는 재밌었다. 주인공이나 빌런이나 서사 다 좋았음.,10,1
이터널스,빨리 D.C에서 제임스완 데려와요..ㅠㅠ,6,0
이상한 나라의 수학자,"진짜 꼭보길,, 역시 최민식 배우님 최고",10,1
배니싱: 미제사건,분위기가 묘하게 독특하고 한국영화가 아닌 것 같은 느낌을 받았는데 감독이 프랑스인이었구나... 정말로 분위기가 신선하고 인상깊었습니다.,9,1
모비우스,배우연기가 아깝게 느껴지는 구멍 술술 설정과 어지러운 CG화면의 대환장 콜라보...,5,0
배니싱: 미제사건,역시 믿고 보는 갓 연우진! 몰입도 높고 쫀쫀한 스토리 때문에 재미있게 봤습니다.. 한국 영화 흥행의 불씨가 보이는 것 같아 마음이 좋네요 ㅎㅎ,10,1
로제타,사는게 지옥이다.,8,1
배니싱: 미제사건,올가 배우를 이렇게 보게 되어서 너무 좋았어요! 앞으로 더 많은 작품 볼 수 있으면 좋겠어요!,10,1
배니싱: 미제사건,[스포있음] 방금 보고 나왔는데요…! 어… 엄청난 범죄영화 같이 홍보 해놓고 결말은 로맨스로 끝나는…? 물론 배우분들 다들 연기도 너무 잘하시고 스토리가 전반적으로 이해도 잘 되었어요 그런데 영화에서 다루는 주 사건에 대한 결말이 안나온 점이 아쉽습니다.,7,0
B컷,열일하시는 김동완 배우님에 눈물이 앞을 가립니다….ㅠㅠ,10,1
배니싱: 미제사건,아... 이거뭔가요....ㅠㅠ,2,0
인턴,21세기에 맞게 뒤집어버리다!,8,1
배니싱: 미제사건,"어색할 줄 알았는데, 신선 그 자체! 유연석은 늘 옳음!!",10,1
모비우스,"빌런, 주인공 캐릭터 서사 좋았다 폭발적인 액션도 자연스럽고 분장도 어색하지 않았음, 큰 스크린에서 보는 재미가 있을 듯. 쿠키영상 2개.",10,1
클리포드 더 빅 레드 독,귀엽고 귀엽고 귀여워!!취저 ??,10,1
봉쇄수도원 카르투시오,나는 하찮타. 정말 하찮타..,10,1
모비우스,"연기, CG, 연출, 음향 합쳐 캐릭터 완성도를 높이다",9,1
모비우스,조조로 봤는데 액션도 좋고 흥미진진했던 영화,10,1
B컷,생각지못한 충격에 후덜덜,10,1
더 킹,대한민국 현실검찰의 추악한실태를 잘보여준영화 ,10,1
해적: 도깨비 깃발,한효주 연기 왓더뻑 연기 그만둬라 제발,4,0
맨 인 더 다크 2 ,경찰에 연락 안 하고 싸움 개 못 하고 경계를 그리 하고있었으면 섀도 없어졌을 때 찾으러 나갈 게 아니라 바로 감잡는 게 맞고 외부인 침입 걍 프리패스고 박스라는 곳 숨구멍은 너무 잘 보이게 위로 뚫어놨네? 아오 코웃음이 쉴 새 없이 나네ㅋㅋㅋㅋ,3,0
모비우스,이렇게 매력적인 빌런이라니!,10,1
모비우스,보고 나오면서 아맥 예매 했다 역시 자레드 레토 진심 찢었다ㅠ ,10,1
더 배트맨,"요즘 히어로물 또는 액션 장르들이 빠른 영상들을 가지고 있었다면.더 배트맨은 묵직한 액션 장르였네요.중간에 늘어지는 것 같은 느낌이 들면 음악이 잡아주며 긴 영화 지루하지 않게 잘 봤습니다. 앞서 베스트에 올라와 있는 평점처럼, MCU, DCEU와 다르다는 걸 꼭 알고 가셨으면 좋겠어요.",10,1
모비우스,지루할 틈이 없이 재미있습니다 번역이 찰져요ㅋㅋㅋ,10,1
모비우스,마블형사 나도열!!!!,4,0
스파이더맨: 노 웨이 홈,와...와!!! 다나왔어 다..ㅠㅠ 토비...ㅠㅠ그웬 얘기하며 울먹이는데 너무 슬픔ㅠ아이언맨이 죽고 더이상 안봐야지 했는데최고임..,10,1
모비우스,영상전개 상당히 빠르고 재미있는데 기자 새기들이랑 평론가 새기들 뭐라고 씨부리노..븅  신  새기들,10,1
모비우스,개봉 6번 미룬것부터 문제있는 영화,1,0
배니싱: 미제사건,배우도 좋고 고증도 좋고 연기도 그럭저럭인데 영화를 이렇게 만든다고?  갑분 로맨스는 뭐이며 그냥 좀 허접해..,3,0
뜨거운 피,스토리도 괞찮고 나름 잼있게보았어요,10,1
모비우스,너무 좋아요 재밌었어요!!ㅎㅎ,10,1
배니싱: 미제사건,헛웃음이 나온다. 한국 스릴러 생각하면 오산,3,0
모비우스,엄청 재미있게봤습니다,10,1
해적: 도깨비 깃발,너무너무 재미가 넘쳐요,10,1
스펜서,"휴양지에서 보내는 크리스마스 기간을 다루면서, 주인공 시점에서 표현하여 그녀의 심리를 공감할 수 있었다",9,1
배니싱: 미제사건,역시 유연석…올가랑 케미 너무 좋았어요! 결말도 여운이 크으,10,1
위대한 쇼맨,"같은영화 두번은 안보는데, 위대한 쇼맨은 두번,세번도 보고있어요.스토리,연기는 당연히 최곤데 특히 ost때문에 계속 찾아보게되네요.타이타닉이후로 평생 기억될 인생작..",10,1
문폴,그냥 재난 영화인줄 알았는데 CG도 좋았고 색다른 소재도 괜찮았다. 약간의 억지 전개는 아쉽다.,7,0
B컷,소재가 일단 진짜 신선하고 배우들 열연에 시간사는지 모르고 봤습니다,10,1
모비우스,마지막 장면 배트맨과 조커의 만남,9,1
B컷,현실감이 대박이네요 소재가 신선해서 좋았어요~,10,1
배니싱: 미제사건,결말이 진짜 여운이 남네요..너무 좋았습니다,10,1
예스 데이!,너무 어린이 영화여서 성인인 내가 보기에는 좀 힘들긴 했지만 그만한 가치가 있는 아름다운 가족 영화였다. 어린 아이들이 있는 집에서 온가족이 보기 좋은 보석 같은 영화.,10,1
뜨거운 피,평소에 정우 좋아 했지만 이 영화에서 그냥 정우 연기 대박임조폭 미화 시키는 부분도 없고 너무 재밌어서 놀랬던 영화 평소에 느와르 좋아 하는 사람이면 여자 남자 구분 없이 좋아할 영화 마지막 장면은 진짜 여운이 너무 남는...솔직히 한번 더 볼 생각 있음,10,1
모비우스,좀 정신없는데 볼만 연출 특이함,7,0
나이트메어 앨리,"흥미롭고 재미있다. 근데, 결말이 그렇게 충격적인진 모르겠다.",9,1
뜨거운 피,나중에 OTT에 자막 달리면 다시 보고 싶습니다.,6,0
모비우스,스토리가 너무 뻔해서 졸았...,2,0
나쁜 남자,예술이라는 포장으로 그려낸 쓰레기포르노,1,0
연애소설,카메라를 들고 지그시 바라보며 미소 짓는 이은주님의 얼굴이 계속해서 아른거린다.,10,1
모비우스,까는거 이해 안된다내용 전개에 있어 엄청 시원하고 빠르게 진행되서 지루할틈이 없음 재밌게 봤습니다쿠키보는순간 다음편 기대될수밖에 없게 만듬,10,1
안녕! 유에프오,이은주님의 맑고 선한 얼굴이 가슴에 크게 맴돈다.,10,1
모비우스,짧은 러닝타임으로 빠른 전개 때문에 설득하는 장면에서 설명이 너무 부족했던점이 아쉬웠음. 내가 히어로 영화를 많이 봐서 그런것도 있겠지만 메인 스토리가 역시나 예상한대로 흘러감. 하지만 쿠키는 예상 밖이라 소니가 다음 영화를 어떻게 이어갈지 궁금.,8,1
모비우스,재밌어요!! 자레드레토 연기 너무 잘해 ㅠㅠ ,10,1
번지 점프를 하다,영화 속 그녀의 모습이 그녀가 없는 순간에도 사람들의 마음속을 떠다니고 있다.,10,1
배니싱: 미제사건,역시 믿고 보는 배우! 유연석이랑 올가 조합도 신선함,10,1
오직 그대만,"늘 가슴이 먹먹한 영화, 좀 더 어릴때 내 순순함이 있는 것 같아서 볼때마다 그 때 감정에 휩싸이는 영화입니다. 오직 그대만.. !",10,1
서편제,동호씨가 유봉씨의 정신병자훈육교육받느라 개고생한  영화.,10,1
더 배트맨,"전체적인 분위기가 압도적으로 좋았기 때문에 아쉬운 부분들이 유독 크게 느껴진다.이번 배트맨 유니버스의 다양한 영화, 드라마를 볼 수 있기를 희망.",8,1
모비우스,기능적인 면은 베놈보다 나은 것 같지만 입담은 따라가지 못하는 모비우스 ,5,0
기생수 파트2,타미야 료코 매력 뿜뿜 ♥,9,1
모비우스,역시 노웨이홈 제작진이야~,10,1
모비우스,영화 잘봤습니다 영화 잘봤습니다 ,8,1
배니싱: 미제사건,긴장감 미쳤고 배우들 연기합 미쳤다프랑스 감독 시선에서 본 한국의 모습도 신선했다ㅠㅠ 이 여운 어쩔겨,10,1
스펜서,다이애나 그녀만의 힘든게 있었겠지만 현실적으로 다 가진자의 앙탈같다,8,1
이상한 나라의 수학자,재밌게 보았습니다~,9,1
나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,무다펀치가 조금 웃겼지만 애들 보는 것은 좋았다.,10,1
박화영,친구인척 친구도 아닌  집단 소시오패스 청소년들 사이에서 박화영은 희생 재물이였나. 착한 박화영은 알면서도 당한것 처럼 보인다.,6,0
B컷,소재 넘 흥미로웠도 배우들 연기 미쳤음!!! 김동완 연기 오랜만에 봐서 좋았고 다 보고 나서 내 폰 안부부터 살피기ㅎ,10,1
백두산,무지성 북한 빨아주기 선동영화,1,0
헤이트풀8,별다른 장치없이 한정된 공간에서 시종일관 숨 죽이며 영화에 빠져들게하는 감독의 연출력에 경의를 표합니다.,10,1
배니싱: 미제사건,알바들 평점질하는거 토나오네,2,0
B컷,신선한 소재 굿. 김동완 열연bb,10,1
인민을 위해 복무하라,야하기만 한 영화 노잼 여배우 연기도 너무 어색함,2,0
모비우스,액션씬 스케일 진짜 장난아니네여ㄷㄷ 못 보던 능력들인데 능력치 압도적이라 긴장하고 봤습니다ㅋㅋ 쿠키까지 보니 후속편 겁나 궁금하네요,10,1
모비우스,오랜만에 제대로 된 안티히어로 영화,10,1
배니싱: 미제사건,알바 진심 역겹네. ㅈ노잼임. 뒤죽박죽. 갑분 로맨스가 ㄹㅇ 노어이. 일하는 관계로 두세번 만나 놓고 뭔 감정이 생겨. 한국인은 원래 감정 표현을 잘 안 하죠? ㅇㅈㄹ 오디오도 이상함. 중간중간에 잘 안 들림. 뭔 도심 한복판에서 총격전이며 그 비서? 가오는 다 잡더니 싸움 졸라 못함. 그리고 메스로 가슴을 긋는 사람이 어디 있냐? 목이나 턱을 긋지,1,0
B컷,영화가 일상에서 있을 것 같은 이야기로 보여서 의심이 가득해졌습니다 잘 봤습니다.김동완 배우 연기 좋아요,10,1
리디밍 러브,무난함 남주가 그냥 대단하다... 멘탈이,7,0
배니싱: 미제사건,신선한 조합. 유연석의 연기에 또 한 번 반하게 됩니다!!,10,1
모비우스,(쿠키2개있음) 쿠키 보고 나니 이후 스토리가 더 궁금해진다.. 2편 존버각.. 2차는 아맥으로 간다,10,1
마녀 배달부 키키,깔끔한 진행 두근두근하게 만드는 스토리,10,1
모비우스,자레드레토 연기 잘 하는건 알았지만 이번 영화 진짜 개찢었음 연기 갓벽!,10,1
이상한 나라의 수학자,두 남주가 서로 배우고 정드는 과정에 대한 스토리를 너무 짧게 표현해서 그런지 감동이 조금 덜했지만 연기는 너무 좋았어요,7,0
모비우스,쿠키 2개 있음 ㅇㅇ 쿠키 보면 진짜 다음편 마렵다... 극장에서 꼭봐야함 ㄹㅇ,10,1
모비우스,액션 대박! 상상을 뛰어넘네 ㄷㄷ 스피드 타격감 비주얼 모든 것인 완벽한 액션이었음,10,1
배니싱: 미제사건,믿고보는 유연석 ㅠㅠ 간만에 극장에서 봐서 넘 좋았음 ㅠㅠ,10,1
B컷,진짜 있을법한 이야기라서 쌉소름 돋음.. 김동완 연기 좋았음,10,1
쥬만지,내가본 영화들중 가장 완벽히 해피했던 엔딩,10,1
킹메이커,"평점 올려주러 왔다. 정치 영화지만 하나도 지루하지 않고 영상미 개오지고 이선균 연기 잘만 하던데? 우리나라에 왜 지역감정이 생겨났는지, 대통령 잘못 뽑으면 어떻게 되는지, 온 국민이 필수적으로 봤음 하는 영화네. ",10,1
B컷,신선한 소재와 배우들의 열연으로 재미있게 보았습니다.,10,1
B컷,오늘 b컷보고 후기드립니다 신선한 소재이고 대통령 후보의 민낯을 볼수있어서 신선하고 반전 의내용이라 어느정도는 재밌게 봤네요 아쉬운점은 19세영화인데 노출씬나와도 금방 지나가는거같아 아쉽네요,6,0
모비우스,새 캐릭터 탄생 정도만 수확인 영화. 너무 단순하다.,8,1
극장판 짱구는 못말려 14기 : 전설을 부르는 춤! 아미고!,"오래된 영화였네, 옛날에 짱구 재밌게 봤는데 그런 추억이 있어서 좋았다. 다만 여자친구는 어릴적에 이걸 봤었다는데 이거보고 트라우마 생겼다고 하던데 정말로 작은 꼬마애들이 보기엔 트라우마가 생길정도로 무서운 장면이 많이 있다.",7,0
죽음의 땅,환경지킴이 시걸 형은 어색하지만  망작은 결코 아니다!,5,0
모비우스,내가 가장 좋았던 건 마틴!!,10,1
드라이빙 미스 데이지,가슴따뜻한 영화 친구가 될수없지만 친구가된 두사람 이야기,10,1
모비우스,재밌는 킬링타임용 영화였음.,9,1
배니싱: 미제사건,"러닝타임도 너무 길지 않고, 재밌습니다 ㅎㅎㅎ ",10,1
장고:분노의 추적자,타란티노 영화중 가장 재미 있게 본영화중하나,10,1
모비우스,연기력 흠잡을곳 없음 그래픽 좋음 액션볼거없음 정말부실한스토리 편집 전개 딱그거임 그래픽과 연기력 그이상그이하도아님,5,0
배니싱: 미제사건,배우들 연기에 몰입되어서 끝까지 긴장감 유지하면서 재미있게 보았습니다.,10,1
미드 90,18세 이상 관람가로 연령등급을 맞췄다면 땡볕 어머니의 성생활이 구체적으로 관람객들에게 보여져야했다,10,1
배니싱: 미제사건,올가와 유연석 조합을 밀게 되다니.. 신선한 조합과 시선! ,10,1
배니싱: 미제사건,감독이 입봉작인가 찾아봤는데 그것도 아니고 와,5,0
라라랜드,명작이네 인생영화인듯,10,1
장고:분노의 추적자,장고가 노예12년의 솔로몬을 구해줬으면 어땠을까,7,0
아메리칸 셰프,맛있다는 표현은 사람마다 굉장히 다르게 표현이 된다. 이 영화에 있어서 맛있음은 요리가 아닌 요리로인해 상호작용하는 이들의 표정이 아닐까,5,0
주디,감독은 마지막까지 비장의 무기를 감추고있었다. `Over the rainbow’가 나옴으로써..,6,0
모비우스,영화가 뭔가 박진감은 없고 마블빠라 챙겨봄,6,0
배니싱: 미제사건,이야기도 배우들의 연기도 정말 신선했습니다~~ 기대 안하고 봤는데 재밌게 잘봤습니다 :) 믿고보는 유연석배우네요 ㅎㅎ,10,1
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,그림 이슬이 누나 비에 젖을때 ㅈㄴ슬펐음,10,1
모비우스,"액션은 너무 좋았는데, 빌런이 매력적이지도 않고 스토리도 아쉽..",7,0
B컷,B컷을 이용한.. 신선한 소재여서 흥미로웠음!!!,10,1
모비우스,어두운 화면억 그렇지 못한 밝고 착한 스토리 사실 영화에 진정한 악당은 한 사람도 안나옴.  예수님 영화 아니라고 되네이며 봐야함 ㅋㅋㅋ,9,1
배니싱: 미제사건,한국인이 중국애기 납치해서 장기밀매함ㅋㅋㅋ 개연성 어디?,1,0
레버넌트: 죽음에서 돌아온 자,인생영화입니다몇번을봐도 감동적이다,10,1
