movie,sentence,score,label
뜨거운 피,"오랜만에 남자의 향기가 찐하게 느껴지는 영화였습니다. 이것이 남자의 세상이다!!!! ^^b 정우 배우님, 김갑수 배우님 연기 너무 좋았고 최무성 배우님에 광기 연기 최고였습니다.",10,1
모비우스,소니 색안경으로 좀 저평가되는듯...(대단한영화는 아니지만)요즘 나오는 양산형 팝콘무비수준은 충분히 됨 영화에 깊이나 메시지같은건 담으려고 안했고 오락성에 충실했음 평점은 4-5점정도인데 사람들이 mcu얘기로 너무박하게 주는것같아서 불쌍해서 10점줌... ,10,1
문폴,시나리오 싸이코패스가 썼냐? 지구 멸망하고 있는데 웬 추격전? 한심하다.,3,0
드라이브 마이 카,상을 받아서 일관된 평들일까.. 나는 잘 모르겠다 보는 내내 허세 란 단어만 계속 떠올랐고 배우의 연기에 몰입도 안되었으며 다양성?!.. 하루키 여서 그만한 무언가 있을 줄 알았으나.. 차 안에서 “네 잘못이 아니야..” 에서 맙소사.. 소리가 튀어나옴 뭔가 진부하고 집중이 안되었는데.. 이게 다른 작품을 제치고 국제영화상을 탈 정도였나 싶다 노미된 다른 작품 몇몇이 더 훌륭했기에.. ,2,0
타이타닉,다시봐도 감동 또 감동소장가치 있음,10,1
극장판 주술회전 0,완죤 재밌어요!! Ost도 너무 좋아요,10,1
강릉,그냠 칼질 영화네. 맹물 스토리!!,6,0
모비우스,보다가 졸았음. 매력적인 캐릭터인데 연출을 이상하게해서 망쳐버림,2,0
이상한 나라의 수학자,초반 진행이 너무 좋았는데 뒷 부분이 아쉬움. 그래도 좋은 영화,8,1
베놈 2: 렛 데어 비 카니지,카니지라는 캐릭터를 어떻게 이따구로 소모했는지 의문임. 차라리 슈리크 죽은걸로 캐서디가 분노해서 원작만큼 잔인해지고 카니지랑 완전히 융합해 살아서 도망가 언젠가 후속작에 나왔으면 훨씬 나았을듯,1,0
모비우스,기대 안하고 갔는데 생각보다 나쁘지 않았음,10,1
어벤져스: 엔드게임,굿바이 나의 아이언맨 이젠 로다주의 아이언맨을 못  보내ㅠㅠ,10,1
모비우스,뻔한 스토리에 그렇고 그런 뱀파이어물...하지만 요즘에는 킬링타임용 영화도 드물어서인지 잘 보았습니다.  제 별점은 상대평가로 봐주시길 ,10,1
차이나타운,10번 넘게봤는데 김혜수 죽을때 이야기하는 눈빛에.... 함께한 식.구  들이 모든죽음으로끝난 상실감 자신 과거부터현제 삶에 고통 무게감 벗어날수없는조직 죽지않아 그저 살아있어서 살아간...그런삶을 넘겨주는 미안함 사랑  애증 모든감정이 눈빛으로 다 감정이 표현된다는게 김혜수가 아니었음 표현 됐을까요 이영화 볼때마다 마지막 김혀수 대사에서 항상눈물이 줄줄  꺽꺽 ,10,1
모비우스,소니는 마블을 놔주는게 나을지도,5,0
모비우스,베놈 같은거 상상하고 가면 실망해여 ㅎ,8,1
극장판 귀멸의 칼날: 무한열차편,진짜 너무 좋은 작임 이번에 더빙나온다던디 진짜 기대됨ㅎㅎ,10,1
모비우스,"친구는 죽이고, 왜 본인은 자살은 안하는거냐? 응? 완전 개쓰래기인데..",7,0
모비우스,뻔히보이는 영웅영화가 잼있더라... ㅋㅋ ,10,1
벨파스트,굿 흑백영화,8,1
모비우스,안졸리던데 잘보고왔습니다 !!!,10,1
암수살인,"영화 지루하면 5분도안되서 꺼버리는데 일단 안쉬고 다봄 리얼리티도 뛰어나고 사건구성도 짜임생 있음 오랜만에 진짜 재밋는영화 봄 개봉한지도 몰랐는데 숨은 진주를 찾은 느낌, 사투리나 연기가 좀 어색할랑 말랑 했는데 좋았음",9,1
1987,앞으로 모든일에 감사히 살겠습니다~ ,10,1
해적: 도깨비 깃발,평점이 왜 이리 낮은지..한효주 목소리도 어울리고 해적 1보다 훨씬 좋습니다,10,1
문폴,모든면에서 다소 부족하지만 심심할 때 보기는 좋아요.,8,1
모비우스,지렸다…. SSU의 서막!!,10,1
뜨거운 피,기대했던 것보다 지루한 면이 있네요.,7,0
이상한 나라의 수학자,배우 최민식의 연기가 돋보이는 영화.명대사 : 중요한건 정답이 아니라 답을 찾는 과정이야.,9,1
특송,"화려한 출연진, 부자연스런 이야기, 영화 도굴을 닮은 편집, 박소담의 기생충스런 말투에 당황. ",4,0
스펜서,다이애나 황태자비의 삶을 이해할 수 있어 공감지수 100%,9,1
더 수어사이드 스쿼드,생각없이 스트레스 해소용으로 보기 좋은 영화. 잔인한 장면이 많이 나와서 호불호가 갈릴 수 있지만 B급 영화 감성을 좋아하는 나에겐 200% 만족스러웠음.,8,1
블루 스톰,제시카 알바를 감상하는 것만으로도..,8,1
여고괴담 3 - 여우 계단,여고괴담 시리즈중 제일 재밌었던 영화,10,1
레지던트 이블: 라쿤시티,최악의 시리즈로 봐도 무방할듯,1,0
이터널스,".. 씨발 게이흑인아빠+게이스페니쉬???아빠=흑인통실이아들/게이키스 역겨웠습니다.더군다나 자신의 창조주를 배신하는 이유 또한 납득이 안됩니다. 정상은 이카루스 뿐내가 도마뱀 키우려고 귀뚜라미를 사육했는데 귀뚜라미 사육 담당이 도마뱀에게 귀뚜라미 먹이기 싫다고 도마뱀을 죽이는게 내용입니다. 한마디로 엿같다는 거고. .. 차라리 각각 문명에서 있었던 일들을 더 자세하게 다뤘다면 더 재밌었을텐데. 이터널스 리더도 배신자 그냥 전부다 배신자. 고성능 흑인로봇은 게이에 게이애인과 흑인아들이 있지. ... 뭔가 ..ㅎ.... ㅗ .. 이도 저도 아닌 재미도 감동도 쾌속 액션도 아닌 그냥 뭔데? 왜 저러는데? 윽 게이! 게이키스!! 아 답답해!! 고구마!!! 그러다 주인 배신. 정상 이터널스는 5천년 애인이 배신자라서 정때문에 결국 임무 완수 못하고, 같은 배신자가 된걸 견디지 못하고 산화. ... 아 씨... 아 좀 그냥 아 좀 별로야 진짜.",2,0
모비우스,액션 그래픽이 애매하고 단조로와 지루했다,6,0
콰이어트 플레이스,아빠가 좀 마음 아팠지만이게 영화죠 짜릿!!!!,10,1
인크레더블 2,인크레더블을 보려했지 각색된 주장을 들으려 본게 아니다. 페미와 PC가 이젠 어린이 만화영화에서도 만행을 저지른다. 뭐만 하면 정치 얘기 꺼내는 끔찍한 사람같은 영화였다. 난 정말 인크레더블을 보려고했다고.... /// 하도 얘기가 많길래 안봤다가 이번에 디즈니플러스를 통해 기회가 되어 봤다. 들었던 얘기처럼 논란꺼리가 될만한 소재들을 많이 넣어놨는데 네이버 리뷰... 역시나 ㅎㅎㅎ 잊혀졌다 이거지. 그렇게 입맛대로 사람들 눈과 입을 가리다가 언젠간 골병이 터진다. 역사가 그래왔듯이,1,0
원 세컨드,중국의 명감독들은 언론통제 때문에 제대로 된 영화 못찍는게 안타깝다.그래서 중국영화는 요즘 안본다.,7,0
모비우스,주연인 자레드 레토보다 맷스미스의 연기가 너무 멋있었음. 혈청맞은이후 부터 자유로운 연기가 보는 내내 저사람이 조커를 연기했어도 어울렸겠다 하는 생걱이듦.,6,0
리디밍 러브,어찌할 수 없는 운명의 여주인공과 천사의 삶을 사는 남자주인공의 조합이 애뜻한  기묘한 감정을 불러일으키는 감동이 있다.,8,1
모비우스,틈만나면 디즈니로 마블 영화 보는 덕훕니다. 저는 정말 재밌게 봤네요 단순해서 오히려 좋았고 자레드 레토 연기 죽입니당. 모비우스 캐릭터 아주 매력적이고 능력도 멋있고요 갑자기 나타난 슈퍼파워 우주인들보다 훨 남. cg도 거슬림 없이 아주 자연스러움. 뭔가 깊은 뜻을 담아내려는듯한 최근 마블 영화들만 보다가 간만에 이런거 보니 너무 재밌네요. 평점 너무 짜요 이영화 재밌습니다.,10,1
인민을 위해 복무하라,연우진은 왜 이런 영화를 찍었는지 의구심이 든다. 여배우는 연기를 너무 못해서 몰입을 방해함. 특히 목소리톤.. ,1,0
첫사랑 사수 궐기대회, 저때랑 지금이랑 여자들 생각하는 꼬라지봐라 저때도 재밌었고 지금도 재밌는 영화야 남녀 평등외치면서 남자한테 언쳐사는것들,10,1
찰리와 초콜릿 공장,처음 소설로 접했을때의 감동은 잊을수 없음,9,1
모비우스,영상미가 화려하고 스토리가 잘 짜여져있어서 시간 가는줄 모르고 봤네요,10,1
모비우스,이제 1편만 보긴했지만 이번에 나온 마블 드라마 문나이트가 훨씬 재미 있습니다. 오스카 아이작 연기 미쳤습니다.,6,0
007 노 타임 투 다이,007 시리즈를 허접한 3류 가족영화로 만들다니 대단해,4,0
강릉,돈 시간 아까움. 절대 보지 마삼.,2,0
패터슨,내 삶을 이어주는 붉은 실의 끝,10,1
창,어찌 24살에 저런연기를 할수있는지 대단함,10,1
디파티드,신세계보다 훨씬 잼있다.,10,1
극한직업,왜 관람객이 많은지 알거같아요,10,1
이스케이프 플랜 2: 하데스,어떤 협박에 의해서 만들어진듯...,1,0
킹메이커,최고의 영화였습니다 ㄷㄷㄷ,10,1
모비우스,역시 소니는 안된다... 이런 매력적인 캐릭터를 이렇게 낭비해버리네... 베놈이나 모비우스나 도찐개찐,2,0
제인 도,마지막 발가락 센스 귀여웠다,8,1
모비우스,이건 도대체 무슨 내용이죠?,1,0
네 마음에 새겨진 이름,그땐 그랬고 지금은 지금.,10,1
구르믈 버서난 달처럼,유쾌함과 진중함을 넘나드는 방식이라 편하게 보기 좋고 칼 액션 좋아하면 선호할듯 다만 스토리가 얼기설기하고 인물 간 관계묘사가 부실함 덜 천하의 황정민도 장님 연기는 어려운거 같음 황 눈가주름에 상당히 지분이 있을거 같은 영화 차승원 한복 핏 죽인다,6,0
범죄와의 전쟁 : 나쁜놈들 전성시대,최고의 영화였습니다.,10,1
청년경찰,굿 너무재밌당 강추합니다,10,1
뜨거운 피,우리 나라 조폭영화는 왜 오디오가 죄다 이지경이냐,2,0
모비우스,시끄러운데 졸린다 시끄럽고 졸린다,2,0
배니싱: 미제사건,이게 도대체 어느 나라 영화인가,2,0
모노노케 히메,이 애니메이션만큼은 진심으로 영화관에서 다시 보고싶다.,10,1
스크림,오랜만에 돌아오는 작품들중 손에 꼽을 정도로 신구조화가 잘된작품..역시 스타워즈처럼 국내선 인기별로라도 자국에선 히트친 영화에 다시볼수 있었던 그들이 때거지로 나오니ㅎ,9,1
얼라이드,이걸 이제서야 보다니 너무 좋네요. 명작입니다 ㅎㅎ,10,1
리코리쉬 피자,피자없는 피자영화. 앙꼬없는 찐빵. 그냥 나이든 미국인들의 향수팔이쯤 되거따. 괴상하고 괴기한영화.영화에 쓸데없는 토핑만 즐비하다.,4,0
소리도 없이,하.. .. 시간이 소리도없이 사라졌노,1,0
인디펜던스 데이,20년 전에 봤다면 정말 재밌었을 영화... 지금보기에는 오그라드는 요소가 너무 많았음.. ,6,0
고령화 가족,음  걸작...걸작 명작...,10,1
딥워터,진짜 한마디도 아까움 ㅠ 으으,1,0
모비우스,그냥 내용이 그저그래용 재미 있으려고하면 지루해짐ㅋㅋ,6,0
뜨거운 피,영화 바람 20년후 짱구보는 느낌 그때 선배로 나왔던 배우들이 친구 아님 후배 그래도 지승현님  연기력은 짱  ,4,0
스파이더맨: 노 웨이 홈,재밌다는 사람들 존중합니다만 개인적으로 모든 스파 영화중에 최악임 마블 이범배빼고 다 봤음 나름 마블 빠이고 그중에 스파이더맨을 가장 좋아함 케이스나 배경화면도 스파이더맨이면 말 다한거임 근데영화 진짜 개별로 ,4,0
모비우스,"난 이영화를 강제야 봐야했고, 0.1m 오차도 없이 내 멍청한 머리에서 짜내는 각본을을 이영화가 그대로 따라나는 모습을 보면서 절망감을 느꼇다. 진짜 초등학교이 짠거 같은 상투적이고, 치밀하지 않은연출최악이었씁니다. 그마나 좀 사운다가 살려주더라.",4,0
하로동선,별로.. 그냥 볼만은한,2,0
사바하,최고의 영화였고오컬트 영화로써 최고였음.,10,1
나이트메어 앨리,기예르모 델 토로 감독의 잔혹동화,8,1
그 남자는 타이타닉을 보고 싶지 않았다,응원하는 마음으로 관람했다,8,1
모비우스,배우 연기는 좋으나  나머진 다 별로,2,0
나의 촛불,강추합니다 우리나라국민이라면 꼭보세요,10,1
크루엘라,마지막에 퐁고 소름..ㅋㅋㅋ,10,1
피그,우린 오늘 누굴 위해 사는가,10,1
블랙 크랩,쓰레기 시간낭비 아무거도 건질게없는영화,1,0
블루 재스민,"화나서 눈물 날 만큼 받아들이기 싫은 현실과, 차라리 미쳐버릴지언정 벗어나고 싶지 않은 과거의 영광, 그 가운데 길 잃은 양. 비난하기에는 너무나도 애처롭다. 몰아치는 바람에도 휘지 않는 뻣뻣한, 뜨거운 태양에도 고개 숙이지 않는 지독한 자존심 탓에 꺾이고 시들어버린 재스민처럼, 이미 그 결과가 극명한 인과응보이기에.",7,0
돈 룩 업,감독 천재. 최고 배우들의 소름돋는 연기. 현 세상 2022년을 이보다 더 잘 표현할수 있을까?,10,1
신세계,지렸다...____,10,1
글래디에이터,최고의 명작! 이보다 더 감동일순 없다,10,1
더 룸,어우씨 그지같은 련이!!!,8,1
로건,엑스맨 영화 중 최고 명작,10,1
모비우스,베놈이랑 다를 바가 없는 스토리라인에 비슷한 전개와 온갖 클리셰 덩어리의 결합체.. 모비우스가 스파이더맨 빌런인지 처음 알았고 생소한 캐릭터인데 특별한 게 없었고 그냥 영상미와 액션은 좋았다. 소니가 배트맨 시리즈 가 잘 되니 스파이더맨 빌런 독립 영화 만들었는데 실패한 느낌.. 본편보다 쿠키영상이 더 흥미로웠음.. 쿠키를 보니 후속작이 더 기대가 되긴 하지만 또 이렇게 만들 거면 차라리 마블에 전권 넘기고 수익료나 받아 먹는 게 나을 거 같다. ,7,0
용의자X,너무 감동적인 사랑 영화,10,1
"협녀, 칼의 기억",지저분함 다시는 이런영화보고싶지않음,2,0
피아노,다시 봐도 명작여운이 남는 작품이였어요,10,1
여타짜,뭐  이런 개  그지같은 영화가 다있어 대한민국에~~~,1,0
피아노,다시 봐도 명작이네요.,10,1
블랙 크랩,최근나온영화중 제일 재밌어요 ,10,1
너의 췌장을 먹고 싶어,엥? 별론데?,6,0
나일 강의 죽음,"고전은 고전대로 남겨두자. 21세기에 이런 스토리가 통할리가 없잔아? 영상,음악,연기 모두 좋은데 이 좋은걸 새로운영화에 투자햇다면 더욱 좋앗겟지. 다음엔 ABC살인사건 나올건가? 새로운 영화 안만들거야?",7,0
헝거게임 : 판엠의 불꽃,헝거게임 시리즈 중 가장 재미있게 봤음!,9,1
위크엔드 어웨이,그냥 저냥 킬링타임용이었어요 ,6,0
노트북,주변 사람들이 추천할 때마다 시청을 미루고 있었는데 이제서야 본 것이 후회된다. 앞으로 노트북을 인생 영화로 꼽게 될 듯 하다.,10,1
인 타임,내가 좋아하는 종류에 영화.,10,1
모비우스,요즘 마블은 영화를 공장에서 찍어내듯 대충만드는것같다. 어두운 cg만 잔뜩 보고 온 느낌.,2,0
윈터스 본,불타는 숲 속의 다람쥐와도 같은 운명의 소녀가 스스로 어른이 되어 지켜낸 집. 지옥 같은 상황에서도 연민을 배제한 연출과 묵묵한 제니퍼 로렌스의 표정이 인상적이다.,9,1
크로싱,넷플릭스에 떠서 우연찮게 보고 눈물콧물 질질짬.. 차인표..역시 연기의 내공.. 무시못함..,10,1
써니,재미있는 영화인건 확실함 소재도 너무 좋고 잘만든 영화임,10,1
마더/안드로이드,평점 보고 봤어야 하나 싶음SF긴 한데 또 아닌것이ㅋㅋㅋㅋ가족을 지키기 위함등은 그러려니 한데한국 묘사가 좀 미흡하지 않았나? 싶음차라리 해핑엔딩으로 해주지그 3명 못받아서 야박하게 군다내용은 그닥 빨리 끝내기 위해 뒷부분을 동강 낸거 같아서 그렇긴 한데 배우들 연기는 괜찮았음,6,0
나를 차버린 스파이,재밌어요!킬링타임용으로 추천!!티비에서 해주고있으면 꼭 보는영화,10,1
혼숨,연기가 좋아서 볼만했어요. 무섭지는 않아요~ 그냥 킬링타임용으로는 괜찮아요,6,0
조커,역대 최고의 조커인 히스레저 와 비교할 수 있을 정도로 새로운 조커의 모습을 인상깊게 표현하였다.호아킨 피닉스의 조커는 보다 현실적이고 관객의 입장에서 조커가 만들어지는 동기에 대해 이해하고 공감할 수 있는 또 다른 캐릭터인 것 같아 매우 인상 깊었다.,10,1
더 배트맨,이 영화를 왜 이제봤지. 세시간 내내 소름돋았다. 너무 좋아서 속으로 욕했다ㅠ 배트맨의 매력을 처음 알게된 영화. 사운드 빵빵한 곳에서 다시 보고싶은데 이제 사운드 좋은 영화관에서 상영을 안해서 너무 아쉬움...ㅠ,10,1
블랙 크랩,"아니 ㅆ1발놈년들이 왜 1점 주고 지랄이야그럼 왜보냐? 이게 감독의 마음이야 너네 돈있냐??? 돈있으면 내가영화감독하겠다 ㅆ1,발년들아",10,1
달링,감동입니다ㅜㅜㅜ그를 지켜준 아내와 지인들 모두 멋지네요!! ,10,1
공조,"현빈 부각되는 현빈판 아저씨 느낌도 있었다. 하루를 잊기 위해 킬링 타임용으로 선택한 영화였지만 완벽한 캐스팅, 연기, 연출을 위한 아이디어가 흠잡을 곳이 없는, 현빈의 외모와 액션만이 부각 되는 영화가 아닌 그야말로 영화를 위한 영화라 생각했다. 현 정치적 문제를 떠나 같은 민족 같은 언어를 쓰는 남과 북이 다시 만날 그날을 생각하기도 하고 부산에서 파리로의 기차 여행을 생각하며, 마지막 유해진 집에서 밥먹는 씬이 없다는게 개인적인 아쉬움으로 남았지만, 2편을 고대한다. 2편이 나온다면 반드시 극장에서 볼 것이다. ",8,1
고질라: 킹 오브 몬스터,이상한 신념을 가진 미친년 때문에 지구인이 멸망할뻔한 이야기.  괴물들 전투씬 때문에 봤는데 그런 부분도 묘하게 졸림.  암튼 이상한 신념을 가지고 행하는 인간부터 죽였으면 했던 영화임.,4,0
장르만 로맨스,오랜만에 재밌게 봣네요 강추합니다,10,1
더 배트맨,Dark af. 웃음의 요소가 정말 없어서 보고 나면 기분이 나빠지는데 갈수록 몰입도가 최고였다. 새로운 배트맨에 기대가 전혀 없었는데 완전 어울림!,8,1
기적,마음이 뜨거워지네요 잔잔하지만 감동이 있네요,10,1
블랙 크랩,에드가 딸을 위한 마음으로 마지막에 물속에서 뛰어드는 장면에서 오열 했어요 너무 가슴 아픈 전쟁영화에요 ㅠㅠ ,10,1
타짜: 원 아이드 잭,타짜와 비교는 넘사벽이지만생각없이 보기 재밌었음기대안하고봐서 더 굿,8,1
블랙 크랩,스케이트로 360키로 횡단,10,1
모비우스,그냥 옜날에 재미없는 뱀파이어 영화정도....액션도 처음엔 이펙트가 무슨 능력이 표현되는건줄 알았는데...그냥 액션이 별개 없으니까 하도 없어보여서 그거라도 억지로 넣은거 같더라...,5,0
랑종,후반부 압박감이 상당하다.,8,1
원 데이,포스터멋지고 평점8점대라 봤는데,7,0
파이란,거진항 간김에 다시 봤는데 장백지 너무 예쁘고 스토리도 너무 슬프네요 20여년전 20대 초반에 본 것과는 확실히 다른 느낌입니다,10,1
브이아이피,단 10분도 집중하기 힘듬. 상상이상으로 별로였던 것.,2,0
신세계,미친ㅋㅋ한국의진짜 마지막느와르,10,1
